Type,SeriesName_1,SeriesName_2,SeriesName_3,SeriesName_4,NameOut_1,NameOut_2,NameOut_3,NameOut_4,Contract_1,Contract_2,Contract_3,Contract_4,YearsBack,ConversionFactor_1,ConversionFactor_2,ConversionFactor_3,ConversionFactor_4,ExpireFlag,LocationOut,UnitsOut
Timing,RB,RB,,,RB,RB,,,F,G,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,G,H,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,H,J,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,J,K,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,K,M,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,M,N,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,N,Q,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,Q,U,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,U,V,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,V,X,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,X,Z,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,Z,F,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,M,Z,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,Z,M,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,K,U,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,U,K,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,U,Z,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,V,Z,,,10,100,100,,,XB,RBOB,cpg
Timing,RB,RB,,,RB,RB,,,J,U,,,10,100,100,,,XB,RBOB,cpg
Timing,CL,CL,,,CL,CL,,,F,G,,,10,1,1,,,CL,WTI,$/BBL
Timing,CL,CL,,,CL,CL,,,G,H,,,10,1,1,,,CL,WTI,$/BBL
Timing,CL,CL,,,CL,CL,,,H,J,,,10,1,1,,,CL,WTI,$/BBL
Timing,CL,CL,,,CL,CL,,,J,K,,,10,1,1,,,CL,WTI,$/BBL
Timing,CL,CL,,,CL,CL,,,K,M,,,10,1,1,,,CL,WTI,$/BBL
Timing,CL,CL,,,CL,CL,,,M,N,,,10,1,1,,,CL,WTI,$/BBL
Timing,CL,CL,,,CL,CL,,,N,Q,,,10,1,1,,,CL,WTI,$/BBL
